text,label
"I just passed my major exam, I feel so relieved",positive
"I'm so happy because my project got a perfect score",positive
"Today was a great day, my professor praised my work",positive
"I finally finished all my requirements before the deadline",positive
"I feel motivated to study after watching that lecture",positive
"My groupmates and I worked really well together today",positive
"I got a high grade on my thesis defense, I'm so proud",positive
"I'm excited for the campus event tomorrow",positive
"I feel confident about my upcoming presentation",positive
"Thank you for helping me understand this topic better",positive
"I love how supportive my classmates are",positive
"I finally understood the lesson after reviewing again",positive
"I'm grateful for my professor's guidance",positive
"This week has been productive and I feel accomplished",positive
"I'm proud of how much I improved this semester",positive
"I had a relaxing weekend and I feel recharged",positive
"My friends cheered me up when I felt down",positive
"I aced my quiz today, I'm so thrilled",positive
"I feel good about my study habits lately",positive
"I'm thankful for this opportunity to learn new things",positive
"I feel relaxed after finishing my report early",positive
"I'm satisfied with how my presentation went",positive
"I feel calm and ready for my exam",positive
"My adviser said my thesis is on the right track",positive
"I enjoyed working on this project with my team",positive
"I'm happy that my groupmates appreciated my effort",positive
"I feel proud of completing my OJT requirements",positive
"I'm thankful my professor extended the deadline",positive
"I feel inspired after talking with my mentor",positive
"I am hopeful that things will get better this semester",positive
"I passed all my subjects this semester, I'm overjoyed",positive
"My defense went really well and I'm so relieved",positive
"I feel energized after a good night's sleep",positive
"My teacher gave me positive feedback on my essay",positive
"I'm celebrating because we finished the group project early",positive
"I feel like I'm finally on top of my workload",positive
"I had fun studying with my friends today",positive
"I'm excited to learn new things in this subject",positive
"I'm proud that I managed my time well this week",positive
"I feel optimistic about my grades this term",positive
"Everything went smoothly during my recitation today",positive
"I'm thankful for the encouragement from my classmates",positive
"I feel light and stress-free after submitting my paper",positive
"I'm glad I asked for help, it made things easier",positive
"I feel accomplished after organizing my schedule",positive
"My professor said I did a great job on my report",positive
"I'm in a good mood because classes were fun today",positive
"I feel refreshed after taking a short break",positive
"I'm happy with the progress of our thesis",positive
"I feel confident I can handle this semester well",positive
"I finally got enough sleep and I feel amazing",positive
"My groupmate covered for me and I'm really grateful",positive
"I crushed my presentation today, everyone clapped",positive
"I feel at peace after taking a walk between classes",positive
"My study group is so encouraging, I love it",positive
"I just got accepted into the scholarship program",positive
"I feel proud every time I look at my progress",positive
"I am so stressed because of all my deadlines this week",negative
"I feel anxious about my upcoming exams",negative
"I'm overwhelmed with all these school requirements",negative
"I failed my quiz and I feel really bad about it",negative
"I can't sleep because I'm worried about my thesis",negative
"I feel like I'm not good enough for this course",negative
"I'm exhausted from studying all night",negative
"I feel like giving up on this project",negative
"My groupmates are not cooperating and it's frustrating",negative
"I'm scared I won't pass this semester",negative
"I feel so much pressure from my parents about my grades",negative
"I'm crying because I have too much workload",negative
"I feel hopeless about finishing all my requirements",negative
"I'm having a panic attack because of my deadlines",negative
"I feel lonely and stressed during exam week",negative
"I hate how much pressure school puts on us",negative
"I feel like I'm burning out from all this work",negative
"I'm angry because my project got rejected",negative
"I feel like nobody understands how hard this is for me",negative
"I'm worried I might fail this subject",negative
"I feel nervous about talking to my professor",negative
